ID_intervention,Y,parking_space,pedestrian_space,activities,greenery,colorful_pavement_urban_art,benches,car_lanes,cyclelane,ebusl_ps,ebusl_no_ps,transit_mall_no_cars,vru_ps,vru_no_ps,vru_no_cars,shared_space,superblock,people,cars,order_maintenance,sunnier
2,1,-1,1,1,0,1,1,-1,0,0,0,0,1,0,0,0,0,0,-1,1,1
2,0,1,-1,-1,0,-1,-1,1,0,0,0,0,-1,0,0,0,0,0,1,-1,-1
7,1,-1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,-1,0,-1
7,0,1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,1,0,1
55,1,-1,1,0,1,0,0,-1,0,0,0,0,1,0,0,1,0,0,-1,-1,-1
55,0,1,-1,0,-1,0,0,1,0,0,0,0,-1,0,0,-1,0,0,1,1,1
18,1,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,0,-1
18,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,1
49,1,-1,1,1,1,1,1,-1,0,0,0,0,1,0,1,0,1,1,-1,0,0
49,0,1,-1,-1,-1,-1,-1,1,0,0,0,0,-1,0,-1,0,-1,-1,1,0,0
37,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
37,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1
33,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,-1,-1,1,0
33,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0
30,1,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0
63,1,1,1,0,1,1,1,-1,0,0,0,0,1,0,1,0,1,1,-2,0,0
63,0,-1,-1,0,-1,-1,-1,1,0,0,0,0,-1,0,-1,0,-1,-1,2,0,0
60,1,-1,1,1,1,0,1,-1,0,0,0,0,0,1,0,1,0,-1,0,0,1
60,0,1,-1,-1,-1,0,-1,1,0,0,0,0,0,-1,0,-1,0,1,0,0,-1
34,1,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1
34,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1
72,1,-1,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,0,0
72,0,1,0,0,-1,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0
25,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1
25,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,1,1
4,1,-1,1,0,0,1,1,-1,0,0,0,0,1,0,1,0,0,1,-1,0,1
4,0,1,-1,0,0,-1,-1,1,0,0,0,0,-1,0,-1,0,0,-1,1,0,-1
15,1,-1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,0,1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
64,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1
64,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1
9,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,0,1
9,0,0,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1
50,1,-1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,-1,1,0
50,0,1,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,1,-1,0
31,1,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,1,1,-1
31,0,-1,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,-1,-1,1
69,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
66,1,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1
66,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,1
39,1,0,1,1,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,0,1
39,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,1,0,-1
67,1,-1,1,1,1,0,1,-1,0,0,0,0,0,1,0,1,0,1,-1,1,1
67,0,1,-1,-1,-1,0,-1,1,0,0,0,0,0,-1,0,-1,0,-1,1,-1,-1
41,1,0,1,1,1,0,0,-1,0,0,0,0,0,1,1,1,0,1,-1,0,0
41,0,0,-1,-1,-1,0,0,1,0,0,0,0,0,-1,-1,-1,0,-1,1,0,0
20,1,-1,1,0,1,1,1,-1,0,0,0,0,1,0,0,0,0,1,-1,-1,-1
20,0,1,-1,0,-1,-1,-1,1,0,0,0,0,-1,0,0,0,0,-1,1,1,1
10,1,-1,1,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,-1
10,0,1,-1,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,1
62,1,-1,1,0,1,0,0,-1,0,0,0,0,0,1,1,0,1,1,-1,0,-1
62,0,1,-1,0,-1,0,0,1,0,0,0,0,0,-1,-1,0,-1,-1,1,0,1
68,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
68,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
