id,group,G101_preference,G101_context,G101_usefulness,G101_safety,G101_security,G101_stress,G101_comfort,G101_order,G101_liveability,G102_preference,G102_context,G102_usefulness,G102_safety,G102_security,G102_stress,G102_comfort,G102_order,G102_liveability,G103_preference,G103_context,G103_usefulness,G103_safety,G103_security,G103_stress,G103_comfort,G103_order,G103_liveability,G104_preference,G104_context,G104_usefulness,G104_safety,G104_security,G104_stress,G104_comfort,G104_order,G104_liveability,G105_preference,G105_context,G105_usefulness,G105_safety,G105_security,G105_stress,G105_comfort,G105_order,G105_liveability,G106_preference,G106_context,G106_usefulness,G106_safety,G106_security,G106_stress,G106_comfort,G106_order,G106_liveability,G107_preference,G107_context,G107_usefulness,G107_safety,G107_security,G107_stress,G107_comfort,G107_order,G107_liveability,G108_preference,G108_context,G108_usefulness,G108_safety,G108_security,G108_stress,G108_comfort,G108_order,G108_liveability,G201_preference,G201_context,G201_usefulness,G201_safety,G201_security,G201_stress,G201_comfort,G201_order,G201_liveability,G202_preference,G202_context,G202_usefulness,G202_safety,G202_security,G202_stress,G202_comfort,G202_order,G202_liveability,G203_preference,G203_context,G203_usefulness,G203_safety,G203_security,G203_stress,G203_comfort,G203_order,G203_liveability,G204_preference,G204_context,G204_usefulness,G204_safety,G204_security,G204_stress,G204_comfort,G204_order,G204_liveability,G205_preference,G205_context,G205_usefulness,G205_safety,G205_security,G205_stress,G205_comfort,G205_order,G205_liveability,G206_preference,G206_context,G206_usefulness,G206_safety,G206_security,G206_stress,G206_comfort,G206_order,G206_liveability,G207_preference,G207_context,G207_usefulness,G207_safety,G207_security,G207_stress,G207_comfort,G207_order,G207_liveability,G208_preference,G208_context,G208_usefulness,G208_safety,G208_security,G208_stress,G208_comfort,G208_order,G208_liveability,G301_preference,G301_context,G301_usefulness,G301_safety,G301_security,G301_stress,G301_comfort,G301_order,G301_liveability,G302_preference,G302_context,G302_usefulness,G302_safety,G302_security,G302_stress,G302_comfort,G302_order,G302_liveability,G303_preference,G303_context,G303_usefulness,G303_safety,G303_security,G303_stress,G303_comfort,G303_order,G303_liveability,G304_preference,G304_context,G304_usefulness,G304_safety,G304_security,G304_stress,G304_comfort,G304_order,G304_liveability,G305_preference,G305_context,G305_usefulness,G305_safety,G305_security,G305_stress,G305_comfort,G305_order,G305_liveability,G306_preference,G306_context,G306_usefulness,G306_safety,G306_security,G306_stress,G306_comfort,G306_order,G306_liveability,G307_preference,G307_context,G307_usefulness,G307_safety,G307_security,G307_stress,G307_comfort,G307_order,G307_liveability,G308_preference,G308_context,G308_usefulness,G308_safety,G308_security,G308_stress,G308_comfort,G308_order,G308_liveability,G401_preference,G401_context,G401_usefulness,G401_safety,G401_security,G401_stress,G401_comfort,G401_order,G401_liveability,G402_preference,G402_context,G402_usefulness,G402_safety,G402_security,G402_stress,G402_comfort,G402_order,G402_liveability,G403_preference,G403_context,G403_usefulness,G403_safety,G403_security,G403_stress,G403_comfort,G403_order,G403_liveability,G404_preference,G404_context,G404_usefulness,G404_safety,G404_security,G404_stress,G404_comfort,G404_order,G404_liveability,G405_preference,G405_context,G405_usefulness,G405_safety,G405_security,G405_stress,G405_comfort,G405_order,G405_liveability,G406_preference,G406_context,G406_usefulness,G406_safety,G406_security,G406_stress,G406_comfort,G406_order,G406_liveability,G407_preference,G407_context,G407_usefulness,G407_safety,G407_security,G407_stress,G407_comfort,G407_order,G407_liveability,G408_preference,G408_context,G408_usefulness,G408_safety,G408_security,G408_stress,G408_comfort,G408_order,G408_liveability,age,gender,residence_city,residence_country,nationality,children,children_0-5,children_6-10,children_11,pet_Y_dog,pet_Y_other,pet_N,disability_Y_mobility,disability_Y_other,disability_N,occupation,specialist,role_academic,role_professional,role_public,role_private,role_nonprofit,role_technology,role_other,commute_Walking,commute_Train,commute_Subway,commute_Bus,commute_Private Car,commute_Motorcycle,commute_Bicycle,commute_Scooter,commute_TVDE,commute_home,commute_Other,commute_time,own_car,parking_home,parking_work
24,1,2_pedestrian_l_a,N,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,7_shared_m_a,N,2.0,2.0,0.0,2.0,2.0,2.0,2.0,55_pedestrian_l_a,N,2.0,2.0,0.0,2.0,2.0,2.0,2.0,18_transit_m_a,N,2.0,2.0,0.0,0.0,0.0,2.0,2.0,49_free_t_a,Y,2.0,2.0,2.0,2.0,2.0,2.0,2.0,37_car_t_b,N,0.0,0.0,0.0,2.0,2.0,2.0,0.0,33_transit_l_a,N,2.0,0.0,0.0,0.0,0.0,2.0,2.0,30_car_m_b,N,2.0,2.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,M,lisbon,portugal,portugal,N,0,0,0,,,Y,,,Y,Graduate student,N,,,,,,,,Y,,,,,,Y,,,,,<15,N,,
25,1,2_pedestrian_l_a,N,2.0,0.0,-1.0,1.0,1.0,1.0,2.0,7_shared_m_a,N,2.0,0.0,-1.0,0.0,2.0,1.0,2.0,55_pedestrian_l_b,N,1.0,0.0,-1.0,0.0,0.0,2.0,2.0,18_transit_m_a,N,2.0,0.0,-1.0,0.0,1.0,1.0,2.0,49_free_t_a,Y,2.0,0.0,0.0,0.0,2.0,1.0,2.0,37_car_t_a,N,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,33_transit_l_a,N,2.0,-1.0,-1.0,-1.0,0.0,1.0,2.0,30_car_m_b,N,0.0,0.0,0.0,-1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,F,lisbon,portugal,portugal,N,0,0,0,,,Y,,,Y,Graduate student,N,,,,,,,,,,,,Y,,,,,,,15-30,Y,permit,permit
26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64_car_l_a,N,2.0,0.0,0.0,0.0,0.0,2.0,0.0,9_pedestrian_m_a,N,2.0,1.0,0.0,-1.0,2.0,1.0,2.0,50_pedestrian_l_a,N,2.0,1.0,1.0,0.0,2.0,1.0,2.0,31_car_m_b,N,2.0,0.0,0.0,0.0,0.0,1.0,2.0,69_transit_m_a,Y,0.0,2.0,0.0,0.0,0.0,1.0,0.0,66_transit_l_a,N,2.0,2.0,0.0,0.0,0.0,2.0,0.0,39_pedestrian_t_a,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,67_shared_t_a,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,F,cascais,portugal,portugal,N,0,0,0,Y,,,,,Y,Employee,N,,,,,,,,Y,Y,Y,Y,,,,,Y,,,<15,N,,
27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63_free_t_a,N,1.0,2.0,0.0,2.0,1.0,1.0,1.0,60_shared_l_a,N,1.0,1.0,1.0,1.0,1.0,2.0,2.0,37_car_t_b,N,0.0,0.0,1.0,0.0,1.0,1.0,2.0,34_car_m_b,N,2.0,0.0,0.0,1.0,0.0,0.0,2.0,72_transit_m_a,N,1.0,0.0,0.0,1.0,0.0,2.0,2.0,25_transit_l_a,N,1.0,1.0,0.0,1.0,0.0,1.0,2.0,4_pedestrian_l_a,N,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15_pedestrian_m_a,Y,1.0,1.0,0.0,1.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,F,lisbon,portugal,portugal,N,0,0,0,,Y,,,,Y,Graduate student,N,,,,,,,,Y,Y,Y,Y,,,Y,,,,,<15,N,,
28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63_free_t_a,N,2.0,0.0,0.0,-1.0,2.0,1.0,2.0,60_shared_l_b,N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37_car_t_a,N,-1.0,1.0,0.0,2.0,-1.0,0.0,-1.0,34_car_m_b,N,1.0,0.0,0.0,0.0,0.0,1.0,1.0,72_transit_m_a,N,1.0,0.0,0.0,1.0,0.0,1.0,1.0,25_transit_l_b,N,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4_pedestrian_l_a,N,2.0,1.0,0.0,0.0,1.0,2.0,1.0,15_pedestrian_m_a,Y,1.0,0.0,-1.0,-1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,M,lisbon,portugal,portugal,N,0,0,0,,,Y,,,Y,Unemployed,N,,,,,,,,,,,,,,,,,,,,N,,
29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63_free_t_a,N,2.0,0.0,0.0,-1.0,2.0,0.0,2.0,60_shared_l_a,N,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,37_car_t_b,N,0.0,-1.0,-1.0,-2.0,2.0,2.0,0.0,34_car_m_b,Y,2.0,0.0,0.0,-2.0,1.0,2.0,2.0,72_transit_m_a,N,1.0,0.0,0.0,-1.0,1.0,2.0,2.0,25_transit_l_b,N,1.0,0.0,0.0,-2.0,2.0,1.0,1.0,4_pedestrian_l_a,N,2.0,0.0,-1.0,-1.0,1.0,1.0,1.0,15_pedestrian_m_a,Y,2.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,F,lisbon,portugal,portugal,N,0,0,0,,,Y,,,Y,Working Student,N,,,,,,,,Y,,Y,,,,,,,,,15-30,N,,
31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_transit_m_b,N,1.0,1.0,0.0,0.0,1.0,1.0,2.0,41_shared_t_a,N,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20_pedestrian_l_b,N,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,10_pedestrian_l_a,N,1.0,1.0,0.0,2.0,2.0,2.0,2.0,64_car_l_a,N,1.0,0.0,0.0,1.0,0.0,0.0,1.0,69_transit_m_a,N,2.0,1.0,0.0,1.0,2.0,2.0,2.0,62_free_t_a,N,-1.0,0.0,1.0,0.0,2.0,1.0,1.0,68_car_m_b,N,1.0,0.0,0.0,2.0,1.0,1.0,1.0,54,M,luanda,angola,portugal,Y,0,0,2,,,Y,,,Y,Employee,N,,,,,,,,,,,,Y,,,,,,,<15,N,,
34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63_free_t_a,Y,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60_shared_l_a,N,1.0,1.0,1.0,-2.0,2.0,1.0,2.0,37_car_t_a,N,2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,34_car_m_b,N,2.0,2.0,2.0,1.0,2.0,2.0,1.0,72_transit_m_b,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25_transit_l_b,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4_pedestrian_l_a,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15_pedestrian_m_a,Y,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,F,sintra,portugal,portugal,N,0,0,0,,Y,,Y,,,Business owner,N,,,,,,,,Y,Y,,,Y,,,,,,,<15,Y,permit,not free
35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64_car_l_a,N,0.0,1.0,1.0,1.0,2.0,2.0,2.0,9_pedestrian_m_a,N,2.0,2.0,2.0,1.0,2.0,2.0,2.0,50_pedestrian_l_a,N,1.0,2.0,2.0,1.0,2.0,2.0,2.0,31_car_m_b,N,2.0,2.0,2.0,2.0,1.0,2.0,2.0,69_transit_m_b,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,66_transit_l_a,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,39_pedestrian_t_a,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,67_shared_t_a,N,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,F,covilha,portugal,portugal,Y,1,0,1,,,Y,,,Y,Employee,N,,,,,,,,,,,,Y,,,,,,,<15,Y,permit,free
39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_transit_m_a,N,1.0,2.0,0.0,1.0,1.0,2.0,0.0,41_shared_t_a,N,2.0,2.0,1.0,2.0,2.0,0.0,2.0,20_pedestrian_l_a,N,2.0,1.0,2.0,1.0,2.0,2.0,2.0,10_pedestrian_l_a,N,2.0,2.0,0.0,1.0,1.0,0.0,2.0,64_car_l_a,Y,1.0,1.0,0.0,1.0,0.0,1.0,0.0,69_transit_m_a,Y,1.0,0.0,0.0,0.0,0.0,1.0,0.0,62_free_t_a,N,2.0,1.0,0.0,1.0,2.0,2.0,2.0,68_car_m_a,Y,1.0,0.0,0.0,0.0,1.0,0.0,0.0,51,M,lisbon,portugal,portugal,Y,0,0,2,Y,,,,,Y,Employee,Y,Y,,,,,,,Y,,,,,,,,,,,<15,Y,permit,free
